recall_id,product_description,product_type,recall_class,reason_for_recall,firm_name,status,quantity,date_initiated,state,country,source,api_endpoint,last_updated
REC-2024-000001,Radiology Device - Model X,Surgical,Class I,Quality Control,Abbott,Ongoing,44349 units,2026-03-04,TX,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000002,Ophthalmic Device - Model X,Cardiovascular,Class I,Quality Control,Boston Scientific,Ongoing,36782 units,2025-08-15,IL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000003,IVD Device - Gen 4,Neurological,Class II,Sterility Concern,Medtronic,Completed,45754 units,2026-04-15,FL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000004,Surgical Device - System Pro,Neurological,Class II,Software Issue,Johnson & Johnson,Pending,6339 units,2022-10-25,PA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000005,Implantable Device - Unit 3000,Cardiovascular,Class III,Battery Failure,Baxter,Ongoing,24808 units,2022-11-09,TX,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000006,Surgical Device - Unit 3000,Implantable,Class I,Software Issue,Medtronic,Completed,18966 units,2025-03-11,TX,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000007,Radiology Device - Gen 4,Surgical,Class II,Design Flaw,Abbott,Terminated,23284 units,2021-08-11,IL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000008,Radiology Device - System Pro,IVD,Class III,Quality Control,Abbott,Pending,24868 units,2021-12-29,MA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000009,IVD Device - System Pro,Dental,Class I,Quality Control,Medtronic,Terminated,26291 units,2026-03-06,MA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000010,Neurological Device - Unit 3000,Neurological,Class III,Battery Failure,Philips Healthcare,Pending,9364 units,2019-09-29,MA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000011,Neurological Device - Unit 3000,Implantable,Class II,Material Defect,Siemens Healthineers,Completed,9066 units,2020-07-25,OH,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000012,Cardiovascular Device - Model X,Orthopedic,Class III,Labeling Error,Philips Healthcare,Ongoing,25217 units,2020-01-08,FL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000013,General Hospital Device - Unit 3000,IVD,Class I,Software Issue,Baxter,Terminated,42007 units,2025-09-06,PA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000014,Surgical Device - Gen 4,Orthopedic,Class II,Device Malfunction,Stryker,Completed,33272 units,2020-04-01,TX,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000015,Surgical Device - System Pro,Orthopedic,Class II,Labeling Error,Baxter,Ongoing,39253 units,2026-01-05,PA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000016,Cardiovascular Device - Model X,Dental,Class II,Quality Control,Medtronic,Completed,37183 units,2024-06-24,TX,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000017,General Hospital Device - Model X,IVD,Class I,Labeling Error,GE Healthcare,Completed,17371 units,2019-12-17,FL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000018,IVD Device - System Pro,Surgical,Class II,Design Flaw,GE Healthcare,Pending,7931 units,2021-05-17,IL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000019,Radiology Device - Unit 3000,Cardiovascular,Class III,Quality Control,Becton Dickinson,Completed,472 units,2021-07-09,TX,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000020,Cardiovascular Device - System Pro,Radiology,Class I,Design Flaw,Johnson & Johnson,Completed,18251 units,2026-01-28,OH,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000021,IVD Device - System Pro,Implantable,Class III,Battery Failure,Boston Scientific,Pending,26678 units,2021-05-27,IL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000022,Radiology Device - Gen 4,Dental,Class II,Material Defect,GE Healthcare,Ongoing,44130 units,2020-01-22,TX,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000023,Ophthalmic Device - Unit 3000,Radiology,Class I,Quality Control,Boston Scientific,Pending,9187 units,2019-09-06,FL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000024,Surgical Device - Gen 4,Neurological,Class I,Battery Failure,Baxter,Ongoing,3316 units,2021-01-21,CA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000025,Neurological Device - System Pro,Ophthalmic,Class II,Battery Failure,Boston Scientific,Pending,3843 units,2020-01-18,NY,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000026,Cardiovascular Device - Gen 4,Surgical,Class II,Sterility Concern,Philips Healthcare,Pending,10145 units,2023-04-02,IL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000027,Neurological Device - Model X,Implantable,Class III,Device Malfunction,Siemens Healthineers,Ongoing,3287 units,2022-04-30,OH,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000028,IVD Device - System Pro,Cardiovascular,Class III,Software Issue,Abbott,Ongoing,38997 units,2024-08-21,TX,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000029,Ophthalmic Device - Model X,Implantable,Class I,Device Malfunction,Becton Dickinson,Ongoing,27475 units,2021-08-21,PA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000030,Neurological Device - Unit 3000,Neurological,Class II,Material Defect,Abbott,Terminated,29965 units,2021-12-04,PA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000031,Cardiovascular Device - Gen 4,Implantable,Class III,Software Issue,Johnson & Johnson,Completed,33154 units,2019-10-25,MA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000032,Dental Device - Model X,Neurological,Class II,Sterility Concern,Abbott,Pending,35601 units,2020-06-26,MA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
