recall_number,product_description,product_code,recall_class,reason_for_recall,recalling_firm,status,product_quantity,recall_initiation_date,state,country,source,api_endpoint,last_updated
Z-2577-2022,Dental Device - Pump,KFM--,Class II,Sterility Concern,Siemens Healthineers,Ongoing,6756 units,20260123,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-4259-2023,Implantable Device - Monitor,KFM--,Class II,Design Flaw,Baxter,Completed,7332 units,20221209,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5694-2022,Orthopedic Device - Monitor,KFM--,Class II,Material Defect,Johnson & Johnson,Ongoing,2664 units,20230410,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6136-2021,Surgical Device - Pump,LNX--,Class II,Battery Failure,Siemens Healthineers,Completed,6792 units,20210723,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-1378-2020,Neurological Device - Pump,IZL--,Class I,Labeling Error,Philips Healthcare,Ongoing,1575 units,20210123,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9985-2019,Cardiovascular Device - Scanner,IZL--,Class I,Sterility Concern,Becton Dickinson,Ongoing,1391 units,20240422,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-4757-2020,Surgical Device - Scanner,DZE--,Class I,Labeling Error,Medtronic,Ongoing,5856 units,20220621,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8654-2023,Surgical Device - Scanner,DZE--,Class III,Labeling Error,Becton Dickinson,Completed,9250 units,20240504,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9745-2021,Dental Device - Scanner,DZE--,Class I,Battery Failure,Stryker,Completed,6763 units,20241114,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5973-2019,Cardiovascular Device - Monitor,KFM--,Class II,Battery Failure,Baxter,Ongoing,8069 units,20200929,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-1149-2022,Surgical Device - Monitor,IZL--,Class III,Design Flaw,Boston Scientific,Completed,9194 units,20220512,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5094-2020,Ophthalmic Device - Scanner,DZE--,Class II,Software Issue,Philips Healthcare,Ongoing,8474 units,20230605,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9715-2021,Ophthalmic Device - Monitor,IZL--,Class I,Labeling Error,Stryker,Ongoing,7470 units,20220312,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9060-2020,Dental Device - Catheter,DZE--,Class I,Device Malfunction,Abbott,Ongoing,4632 units,20220119,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8183-2024,Cardiovascular Device - Monitor,IZL--,Class I,Device Malfunction,GE Healthcare,Ongoing,5611 units,20200527,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9165-2021,General Hospital Device - Catheter,KFM--,Class I,Labeling Error,Medtronic,Completed,6439 units,20220630,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8702-2020,Neurological Device - Pump,LNX--,Class I,Software Issue,Boston Scientific,Completed,7267 units,20250202,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-4263-2022,Radiology Device - Monitor,LNX--,Class II,Sterility Concern,Siemens Healthineers,Ongoing,701 units,20190518,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8884-2024,Surgical Device - Monitor,KFM--,Class I,Quality Control,Johnson & Johnson,Ongoing,7123 units,20211103,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3742-2021,Implantable Device - Catheter,LNX--,Class I,Device Malfunction,Medtronic,Completed,9778 units,20190303,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-2466-2020,Orthopedic Device - Scanner,IZL--,Class III,Design Flaw,Medtronic,Ongoing,5834 units,20230302,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-2759-2020,General Hospital Device - Monitor,KFM--,Class III,Design Flaw,GE Healthcare,Ongoing,359 units,20250105,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3207-2021,Cardiovascular Device - Scanner,LNX--,Class III,Sterility Concern,Baxter,Completed,3119 units,20230107,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6696-2021,General Hospital Device - Pump,DZE--,Class I,Labeling Error,GE Healthcare,Completed,4324 units,20250204,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-1011-2024,IVD Device - Scanner,DZE--,Class I,Design Flaw,Becton Dickinson,Ongoing,5264 units,20240203,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9830-2022,Neurological Device - Scanner,DZE--,Class III,Sterility Concern,Siemens Healthineers,Completed,5286 units,20260520,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9572-2024,Radiology Device - Catheter,DZE--,Class I,Device Malfunction,Boston Scientific,Ongoing,7962 units,20200130,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-1521-2023,Ophthalmic Device - Scanner,KFM--,Class I,Design Flaw,Boston Scientific,Ongoing,224 units,20200209,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9051-2019,General Hospital Device - Catheter,KFM--,Class III,Material Defect,Siemens Healthineers,Ongoing,4365 units,20260509,CA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5979-2019,Neurological Device - Catheter,IZL--,Class III,Quality Control,Baxter,Completed,3114 units,20191016,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5075-2023,Orthopedic Device - Scanner,IZL--,Class III,Design Flaw,GE Healthcare,Completed,1715 units,20241125,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7579-2023,Dental Device - Monitor,LNX--,Class II,Design Flaw,Baxter,Completed,6100 units,20210108,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8054-2024,Dental Device - Monitor,DZE--,Class II,Sterility Concern,Siemens Healthineers,Completed,7341 units,20260206,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-1567-2021,Implantable Device - Catheter,DZE--,Class II,Device Malfunction,Stryker,Ongoing,3529 units,20190101,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5521-2023,IVD Device - Monitor,IZL--,Class I,Battery Failure,Siemens Healthineers,Ongoing,2277 units,20190330,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5093-2020,Surgical Device - Pump,IZL--,Class III,Material Defect,Becton Dickinson,Ongoing,1274 units,20230212,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3832-2022,Implantable Device - Catheter,KFM--,Class I,Material Defect,Johnson & Johnson,Ongoing,5488 units,20240530,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7824-2019,Neurological Device - Catheter,LNX--,Class I,Sterility Concern,Baxter,Ongoing,5241 units,20231114,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9231-2024,Neurological Device - Monitor,IZL--,Class III,Material Defect,GE Healthcare,Ongoing,3648 units,20220831,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7460-2020,Orthopedic Device - Pump,IZL--,Class II,Device Malfunction,Baxter,Completed,4311 units,20220401,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9221-2022,Orthopedic Device - Monitor,LNX--,Class III,Quality Control,GE Healthcare,Completed,9370 units,20230621,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9589-2020,Neurological Device - Catheter,KFM--,Class II,Design Flaw,Becton Dickinson,Ongoing,1853 units,20250417,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6984-2021,Neurological Device - Pump,KFM--,Class III,Device Malfunction,Stryker,Ongoing,5739 units,20231001,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3389-2022,Cardiovascular Device - Monitor,DZE--,Class III,Design Flaw,Abbott,Ongoing,1851 units,20251227,CA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3419-2021,Cardiovascular Device - Pump,IZL--,Class II,Battery Failure,GE Healthcare,Ongoing,5447 units,20210922,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-4471-2020,IVD Device - Pump,LNX--,Class III,Labeling Error,Medtronic,Completed,9561 units,20250112,CA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3790-2019,Surgical Device - Monitor,KFM--,Class I,Battery Failure,Medtronic,Ongoing,6377 units,20211112,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-2767-2019,Surgical Device - Scanner,DZE--,Class II,Software Issue,Siemens Healthineers,Completed,9792 units,20230115,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-4258-2023,General Hospital Device - Catheter,IZL--,Class I,Sterility Concern,Siemens Healthineers,Completed,6455 units,20210202,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6681-2024,Dental Device - Pump,KFM--,Class I,Sterility Concern,Medtronic,Completed,6353 units,20190317,CA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5590-2020,Orthopedic Device - Pump,LNX--,Class III,Labeling Error,Johnson & Johnson,Completed,8541 units,20250323,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-4938-2023,Orthopedic Device - Scanner,KFM--,Class III,Design Flaw,GE Healthcare,Ongoing,3397 units,20230906,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9869-2024,Neurological Device - Monitor,KFM--,Class III,Labeling Error,Philips Healthcare,Ongoing,9264 units,20250707,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-2111-2023,IVD Device - Catheter,DZE--,Class II,Labeling Error,Medtronic,Completed,6793 units,20220724,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8258-2024,Surgical Device - Monitor,DZE--,Class I,Labeling Error,Abbott,Ongoing,4382 units,20220527,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-4804-2020,Cardiovascular Device - Pump,IZL--,Class III,Battery Failure,Abbott,Completed,6136 units,20250908,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9051-2022,Orthopedic Device - Monitor,DZE--,Class I,Device Malfunction,Philips Healthcare,Ongoing,4431 units,20230507,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-4323-2020,Radiology Device - Monitor,LNX--,Class III,Battery Failure,Siemens Healthineers,Completed,4053 units,20210630,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-1685-2023,Ophthalmic Device - Pump,LNX--,Class III,Device Malfunction,Baxter,Ongoing,7409 units,20230717,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5025-2023,IVD Device - Scanner,IZL--,Class III,Material Defect,Baxter,Ongoing,3120 units,20190623,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7521-2021,Surgical Device - Scanner,DZE--,Class II,Sterility Concern,Becton Dickinson,Ongoing,8480 units,20231206,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8400-2019,IVD Device - Catheter,DZE--,Class III,Labeling Error,Philips Healthcare,Completed,5309 units,20240313,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3930-2022,Implantable Device - Monitor,LNX--,Class I,Sterility Concern,Siemens Healthineers,Ongoing,2034 units,20190413,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8362-2024,Dental Device - Catheter,LNX--,Class III,Labeling Error,Philips Healthcare,Completed,729 units,20200412,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3459-2020,Orthopedic Device - Monitor,IZL--,Class II,Sterility Concern,Stryker,Completed,4741 units,20221004,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3155-2020,Cardiovascular Device - Pump,IZL--,Class II,Battery Failure,GE Healthcare,Ongoing,9971 units,20200426,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-4553-2023,General Hospital Device - Scanner,LNX--,Class II,Software Issue,Becton Dickinson,Ongoing,4019 units,20210901,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-4401-2019,Orthopedic Device - Monitor,IZL--,Class III,Design Flaw,Medtronic,Ongoing,541 units,20251213,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-2436-2019,Radiology Device - Scanner,DZE--,Class I,Sterility Concern,Becton Dickinson,Ongoing,7470 units,20220918,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-2525-2021,Dental Device - Pump,LNX--,Class I,Material Defect,Baxter,Ongoing,4807 units,20190527,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-2999-2024,Surgical Device - Pump,LNX--,Class III,Quality Control,Boston Scientific,Ongoing,1800 units,20200705,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5705-2022,Implantable Device - Pump,KFM--,Class III,Design Flaw,Abbott,Completed,8524 units,20240604,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3947-2023,Neurological Device - Pump,DZE--,Class I,Software Issue,Medtronic,Completed,1942 units,20240710,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7793-2022,Cardiovascular Device - Pump,KFM--,Class III,Quality Control,Medtronic,Ongoing,4624 units,20251125,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
